,app_id,current_price
0,10,7.19
1,20,3.99
2,30,3.99
3,40,3.99
4,50,3.99
5,60,3.99
6,70,7.19
7,80,7.19
8,130,3.99
9,220,7.19
10,240,7.19
11,280,7.19
12,300,7.19
13,320,3.99
15,360,7.19
16,380,5.79
17,400,7.19
18,420,5.79
20,500,7.19
21,550,7.19
23,620,7.19
27,1002,5.99
28,1200,3.99
29,1250,14.99
30,1300,7.19
31,1300,7.19
32,1300,7.19
33,1500,7.19
34,1510,6.99
35,1520,7.19
36,1530,7.19
37,1600,4.59
38,1610,6.99
39,1630,4.99
40,1640,4.99
41,1670,3.99
42,1690,10.99
43,1700,2.99
45,1900,3.99
46,1930,6.99
47,2100,4.29
48,2200,12.99
49,2210,12.99
50,2270,2.99
51,2280,3.99
52,2290,3.99
53,2300,3.99
54,2310,3.99
55,2320,3.99
56,2330,2.49
57,2340,2.49
58,2350,12.99
59,2360,2.99
60,2370,2.99
61,2390,2.99
62,2400,6.99
64,2450,4.29
65,2500,3.99
66,2520,3.99
67,2540,3.99
69,2590,2.99
70,2600,14.99
71,2610,9.99
72,2620,14.99
73,2630,14.99
74,2640,14.99
76,2710,1.99
77,2720,3.99
78,2780,5.99
79,2800,4.99
80,2810,9.99
81,2820,15.99
82,2840,3.49
83,2850,3.49
84,2870,24.99
85,2900,4.59
86,2910,4.59
87,2920,4.59
88,2990,5.99
89,3010,3.99
90,3020,2.14
91,3050,3.99
92,3130,3.99
93,3170,7.99
94,3230,4.49
95,3260,4.49
96,3270,4.49
97,3300,4.25
98,3310,4.25
99,3320,4.25
100,3330,4.25
101,3340,4.25
102,3350,4.25
103,3360,4.25
104,3380,4.25
105,3390,4.25
106,3400,4.25
107,3410,4.25
108,3420,4.25
109,3430,4.25
110,3440,4.25
111,3450,4.25
112,3460,4.25
113,3480,4.25
115,3490,4.25
116,3500,4.25
117,3510,4.25
118,3520,4.25
119,3530,4.25
120,3540,4.25
121,3560,4.25
122,3570,4.25
123,3580,4.25
124,3590,4.25
125,3600,4.25
126,3610,4.25
127,3620,4.25
128,3700,5.59
129,3710,5.59
130,3720,6.99
131,3730,3.99
132,3800,7.19
133,3810,6.99
134,3820,6.99
135,3830,6.99
136,3900,9.99
137,3910,2.99
138,3920,1.49
139,3960,2.99
140,3980,5.99
141,3990,2.99
142,4000,6.99
143,4100,5.99
144,4230,25.99
145,4290,3.99
146,4300,5.99
148,4420,7.99
149,4460,6.99
150,4470,7.99
151,4500,9.99
152,4520,7.99
153,4530,4.99
154,4560,9.99
155,4570,9.99
156,4580,9.99
157,4700,19.99
158,4720,9.99
159,4760,8.99
160,4770,8.99
161,4780,19.99
162,4800,9.99
163,4850,3.99
164,4870,3.99
165,4880,3.99
166,4890,3.99
168,4920,6.99
169,6000,7.19
170,6010,4.79
171,6020,7.19
172,6030,7.19
173,6040,4.79
174,6060,7.19
175,6080,7.19
176,6090,4.79
177,6120,7.19
178,6200,0.79
179,6210,3.99
180,6220,4.99
181,6250,3.99
182,6270,3.99
183,6300,13.99
184,6310,5.99
186,6400,5.79
188,6510,1.99
189,6550,3.99
190,6600,2.79
191,6800,3.99
192,6810,3.99
193,6830,3.99
194,6840,3.99
195,6850,8.29
196,6860,9.29
197,6870,4.99
198,6880,4.99
199,6900,7.19
200,6910,4.99
201,6920,4.99
202,6980,6.99
203,7000,4.99
204,7010,3.99
205,7020,6.99
206,7110,8.99
207,7200,25.99
208,7210,6.99
209,7220,6.99
210,7260,6.99
211,7340,6.99
212,7510,6.99
213,7520,14.99
214,7530,6.99
